label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle
Good,136.03079245772307,139.25636390630174,9.552012831049062,5.518516874817834
Good,134.11427531408876,140.19529393676746,9.422228909713018,7.547685396141248
Good,137.3650440253134,139.6010634791785,9.513910893195028,6.671190459536632
Good,147.94589125402965,133.84329223397413,16.895084087049828,3.0791724702897483
Good,143.75299849518123,134.52353558557212,11.938203823315664,2.628872307650062
Good,142.27863549702818,130.51329713159964,10.774901351267324,0.4065713404227734
Good,147.89110839746536,134.96921183671773,15.633588976569719,1.74803420779035
Good,147.35819825375725,136.06023554744144,14.799576769640048,5.3247904751318265
Good,146.5480878687211,147.48431434189249,15.425564002594491,9.913987955607409
Good,147.81897780338394,135.72026989582687,15.160289725612351,2.886930954969364
Good,146.71833403373716,145.1239457021759,16.263593580975044,9.07658258468987
Good,141.8999927560891,145.6552366575426,12.163514463518094,8.068097436262464
Good,147.48106380479345,147.0036890813867,17.401237401061373,9.533516089347355
Good,147.95471376289953,144.93362608471296,17.99786635085211,8.565059755086525
Good,143.9662584499367,135.08338858065687,15.908420330691293,3.9431931133571583
Good,143.05372841592975,136.16796502049732,17.384513091239675,7.762057350109751
Good,145.431032411313,136.2543491223659,16.7531428286882,7.802139506920172
Good,138.45179646919982,143.1884331945938,17.124071634692186,11.424837006386026
Good,136.51937023446996,129.45683694324754,20.048729432520567,7.953793570758526
Good,129.9053783163992,136.16155163366852,16.085960470235097,18.172922238349997
Good,130.46675014313885,132.70831649373415,23.72949323732531,17.51821619034649
Good,122.28105798796281,130.7683042627778,17.298422952479196,17.75810374616736
Good,121.81077224148609,126.59739385007381,18.724452234153,17.655883811012334
Good,115.57210393414474,125.10135083604561,17.242827361091823,18.01300634650706
Good,119.9294817594465,129.0183855410195,24.9713196308167,22.95997869258764
Good,112.04353372040819,114.75702204215165,19.458880809546468,15.118736004127307
Good,103.88757360249389,112.97739995465056,15.777141083007546,14.054017533897026
Good,102.64795669204484,109.7300864520733,15.567805363844665,14.290099714955538
Good,92.96969651946812,100.76043847808242,9.04056444649123,5.907124751398249
Good,81.69222800878205,89.23463586852694,1.8994793946811726,6.341070087717657
Good,73.66202579605483,88.18285884287612,4.881428779295818,1.170943070066314
Good,72.33339106861224,84.92307322916366,3.1128501437520204,8.080445154269723
Good,69.68950059579566,79.23519044822288,3.81042960265277,3.873554911362838
Good,67.73478014442088,71.8749326444298,3.020477312831159,1.0821935842009671
Good,72.97372232722635,81.06349361105725,6.441051620650708,4.62044090325369
Good,69.89281502833933,87.11350251915069,0.08879562273094135,12.987406900091967
Good,58.87447773925556,83.17987864491799,8.169262574277464,5.824125421664754
Good,58.54855152460689,85.3970538535999,0.5972131182806033,9.394579959341907
Good,58.55817518911125,83.46835459963312,1.3569212549396048,6.390561696047092
Good,60.74423765751106,83.44906522764862,0.29115114196066527,7.03425637036841
Good,63.673609762656916,89.13966071606158,5.194563116551831,0.6885081935548932
Good,70.87215025078727,69.4465909942918,2.348039590638165,1.2605324400895241
Good,73.8188645063516,67.6632932523308,5.023834817308244,12.344075185413937
Good,70.18513448032058,75.48034971902605,2.742812138574472,9.92124665732905
Good,75.68723374247094,78.15529400881465,2.0167479032692235,10.742840493342504
Good,76.82761300276808,82.58179842101653,0.13416685146280963,5.8321425092460935
Good,83.0565004156232,92.58127868259312,0.5607242510341109,4.913577033507101
Good,95.99291903536452,101.92409334704558,11.295082568350598,5.5830612847564485
Good,94.45190740770465,103.88395441997548,9.548183277562625,9.907470944076607
Good,101.75444992545002,112.745640612113,16.440766874639138,14.22835695099176
Good,107.65405364314917,116.45038943701701,17.23387124299982,16.157533256460876
Good,114.79934940589835,120.33486008823849,22.832091894995422,15.121211683793334
Good,124.33359144138743,130.31555395656605,29.795865291838798,19.608024814954554
Good,123.74962798946717,133.34779365427397,25.988167483037266,18.220294569227615
Good,126.34480052125227,134.5297425771174,24.538225711968646,15.675809827967985
Good,134.05838667398112,145.30584287838997,29.792338575344836,23.862944201976156
Good,129.77564012828518,141.97391857880658,23.76517053960041,20.64641858622336
Good,132.3204611060314,134.56844465769197,23.348193432637704,15.945726342313261
Good,135.59020743747882,136.05944866231303,21.801928814498854,15.464373788565513
Good,139.3451946553815,134.6923266067384,23.273486705217323,13.025201242816774
Good,145.8513219098089,138.72690121869593,23.717122532855953,13.314244915009768
Good,148.81995007729068,143.53691349648605,20.529795060648443,13.486255003079084
Good,156.49871586734795,145.8410230498142,20.87492094540455,9.906196741565754
Good,152.65024227622098,144.6716671058403,15.495066372891499,7.075268155810383
Good,153.84004371756765,150.76294208770892,11.536701495369957,6.157541950190108
Good,154.28246688026323,148.56293916663265,10.72286775240949,5.7708995619871075
Good,155.32167868841836,151.80088200460233,10.639943353033177,6.904653978500286
Good,147.46408076886544,152.49400127218385,7.144859253000317,7.089600074636856
Good,149.80642891228658,150.97882172138637,6.515159537081154,6.17066740096851
Good,151.59748024104925,157.2983563949612,6.731750685559707,8.180468259326696
Good,151.0200824602004,155.29509004270307,6.1176446164017495,6.814167494063889
Good,152.09678768288873,151.43907535582227,8.36610294739982,7.92076194802498
Good,150.4797976085364,148.36011471743004,12.359594844110337,9.009732363645153
Good,148.92876448460518,146.05836743273207,10.082564901716076,5.668674257080166
Good,149.4731167930308,142.0217490570697,13.157304431639982,4.2931542610534175
Good,141.03099420298307,139.3482073137112,14.578098115787107,7.490361221371995
Good,140.55071633802993,136.51422592863298,19.054559081974862,12.763411596413526
Good,136.09399150628423,137.8680223159879,20.638958378075046,16.748758736803875
Good,137.90589456131602,134.0890176905567,26.73797671482473,14.797292512926882
Good,134.38674059522873,137.80268310895434,28.240521161174556,23.68882990256785
Good,129.44785779962785,129.847681337904,25.388098767584857,16.929096647483828
Good,127.19266551410155,130.61270253795732,27.16605233033746,19.695453921376455
Good,120.99975372741083,129.39292704375706,24.4339177173178,16.494499286227576
Good,110.54594195788502,116.33017338233748,17.89050138317,11.250377168035715
Good,105.10401128460659,114.252225837938,16.655945965705893,12.97583837253234
Good,105.11346884643304,111.85129423885694,18.209655223380278,15.02514707611546
Good,95.10729171534528,94.75449291075564,9.191406714979749,2.1837262789988845
Good,89.79483643464177,90.6383077287237,7.248128319082058,5.713367899707262
Good,80.05366855643133,96.77932257565276,1.3482004146787978,7.909258401264563
Good,79.26895166689282,89.43305471366983,4.577722761435052,6.54454351706467
Good,85.20132026762113,80.50195959919711,13.061900414855671,2.922247580514167
Good,80.48362111138246,74.33015771631725,11.512222915803564,1.786521657848679
Good,79.05078702906802,93.33863331608234,18.851910940687524,3.9357516536431096
Good,68.53417044127028,79.6358065350085,2.4975150552427294,8.010025191272613
Good,58.59846261051692,67.20732452275963,4.281940244256778,6.231717893452303
Good,54.58568954708034,71.18328994704612,1.2045275609791497,3.5983000782979926
Good,58.1319488729607,80.91553647691201,1.6431709187314785,3.842258826477871
Good,67.68135885479802,69.32906098549486,10.352292514973655,0.9638207682305359
Good,62.84541211791153,81.6012395662549,1.7118458917128425,5.5470667207807365
Good,61.436311652434114,70.7281671697486,0.48804513364926133,1.1434540700382048
Good,71.13641510144136,82.41557928922266,8.841123149964462,4.187361377901311
Good,86.30714729448634,78.39081285468333,20.077197179929367,4.009716725271237
Good,87.1530084585611,85.35060858108582,18.797985502062424,14.866611369450572
Good,82.05533069249746,87.2752810188748,7.829084520229106,7.725275498458065
Good,83.68663427331522,93.6143138665065,7.9926910817988315,1.5246633257223836
Good,95.76487937494248,97.21180758677826,14.896550563752132,7.948672055388971
Good,98.78815452602015,96.8971468453268,15.632194641749939,0.709301350397082
Good,106.17821076995722,97.49324421550091,19.93176518175098,4.308943904851235
Good,103.53536533451258,111.12610484268441,17.380286294063232,11.13668570199707
Good,109.1561835441407,117.36053510124464,19.201608120022506,13.29111659928529
Good,114.42510348929774,117.1115349363603,20.629021255469986,15.169241636740328
Good,116.37031187668234,125.00986462416583,22.830973425204448,16.48281490651723
Good,122.34377298899727,128.33764049872184,24.136505014772236,18.048530089731944
Good,123.32517952859811,130.88371774096754,22.33419468451201,18.284002136102252
Good,133.45371974956308,141.0346599461551,29.024746792644315,21.059781061652963
Good,129.40766223520222,133.69553852071397,22.927726219099785,19.39403068387654
Good,139.3965681358167,134.12525227343082,28.87550660452219,19.153501751076377
Good,141.63552910226002,140.8462516932864,27.147916819705436,20.561189029942238
Good,140.76041836215467,137.12452248111913,21.994408521370957,17.798212436889557
Good,142.52958358140276,141.00039451577558,19.077960216180223,13.084623315617634
Good,152.4296578554249,139.3363096277161,23.23002986597608,11.605485214105425
Good,150.75930933113779,140.35584076694772,18.350655441278235,6.330572694736432
Good,146.92878989857428,145.27553354101894,11.648115042412433,6.481102695246122
Good,155.98261594953,148.36518372364526,15.212414280592998,8.539453863371826
Good,153.78975003950845,150.8923055958339,11.573685745230192,8.229682259295865
Good,155.6586518162163,156.1821385759368,11.570983853947048,9.200043055621622
Good,155.63471267288955,157.16536253112832,9.306755931070068,8.46666211436729
Good,153.28461659581964,150.2096330340374,8.358265735836719,5.534783287623126
Good,157.9625174765876,153.2101425729241,9.601426679525066,5.190170755524868
Good,155.51915959330887,158.06337685147042,8.983150105568082,9.021072184855683
Good,155.2370038992283,156.6906966028717,8.86555022381078,8.449783694869117
Good,151.7480944279663,153.42221644634984,11.218149626428895,10.823617722906127
Good,151.50547528929738,150.69372144450378,12.211572712014059,10.561032862408103
Good,145.03057580530455,144.77230640102465,7.70132040304281,5.416372282424146
Good,149.40607909990922,141.22362605004588,15.219406606104718,7.240043151950274
Good,142.78986174414553,142.52622617364253,17.263014357655173,12.102343501485283
Good,140.6187615850918,134.61705223336585,23.07385741382535,14.073534058058106
Good,135.80870684842387,132.21896675190558,24.215971397655764,18.29926863068244
Good,132.62542270209627,133.1183360751787,25.446141817783193,21.494785088787374
Good,138.87123761522056,145.37483235227904,33.34372051623332,24.69853188458383
Good,130.18030116197633,134.73512441757603,28.868728266100273,21.411064410727455
Good,127.33417528553679,133.08586385245385,29.16524900961681,19.704918373493275
Good,120.94092248641067,130.0239799697298,26.532592474153542,22.319590041254294
Good,117.10526506210388,125.22814912243615,25.223680860418682,16.89478839191989
Good,110.38616107878924,119.81171879049054,23.757438291648082,16.052154402186993
Good,104.80883898932909,115.49146400183704,17.86918315113091,14.524049882457255
Good,106.00030179708565,94.22113627500397,18.081390927048467,9.335514425808617
Good,96.83806545995162,101.90625800907274,14.545529199810732,5.250277966155002
Good,93.8774670389384,93.92490934983121,14.66662830041866,1.3082706732485165
Good,87.0779316872955,92.57069171055869,6.435197006190693,5.440735155412014
Good,94.0780985823856,97.99363302465282,17.219399531297654,12.792783347610536
Good,89.90419756708273,96.80203173681485,14.487125542698895,9.614793595552626
Good,80.72489940717095,75.22653278908898,6.431990277762675,3.3268900816294216
Good,73.68955662722543,70.04580598063855,1.1706545200246794,2.4231322508476962
Good,60.59927225954512,70.55864482631038,3.594158951866097,0.22090911754288708
Good,61.33902959260771,74.21527307539131,3.732603631706463,2.006891553118559
Good,59.05863630269729,63.257874616654696,0.7797133687638146,2.185122290177693
Good,65.70998410692643,63.41935606177263,5.562621797821538,4.4652160970731405
Good,68.77852580824391,78.16237538394871,5.472792558857731,2.588639112886872
Good,67.50547060315122,69.95950009540248,5.794722991109606,9.658408717526687
Good,63.18615536915332,83.037944777553,0.22647078336508095,1.674569175851378
Good,72.3917726048094,95.47809283844775,8.97102725641,7.666357347528908
Good,76.51411350497034,87.87930895146285,7.512145489131804,4.571658265828216
Good,85.43331431727913,88.84765577426161,18.128011930902407,12.186165720704613
Good,83.71939955718682,79.15847971744124,11.103047887860372,3.8956400526278347
Good,84.34218099044622,90.48234817972335,4.738180107284781,5.858759724667192
Good,81.09120571048037,100.14921006820359,1.228360035049589,4.13992156747995
Good,96.00720388997624,90.874753565652,12.889243191882555,1.7877650397546514
Good,101.42135626978437,108.76466792298076,13.854722001320347,12.196454208492641
Good,106.5915589811413,109.33810971638455,17.78686849620819,10.601735787471746
Good,105.65557615242021,116.8124813862058,16.84355868303668,15.112121721385277
Good,115.64783348171642,119.67167164365375,23.965550705090156,16.973485667436847
Good,116.88872869419528,125.27008215953961,24.979470585835543,23.615816115815626
Good,121.0259304621515,131.56865235267173,23.96275264148983,21.58335970565387
Good,124.04613035975028,132.21615828355996,25.689587716391586,24.158992035629254
Good,127.11949755321018,134.46813340573317,25.461522340925583,21.45753588845481
Good,129.48657163808872,134.38733418246258,25.3795950072531,20.66677098384107
Good,133.9119409680177,139.45592322474855,26.96280679070348,20.56652744050054
Good,134.0739409786983,140.73633716544228,26.354961604366316,22.041415403913742
Good,135.46170801768204,140.86001976323953,25.62083389673586,18.692136705898736
Good,137.71264203546505,138.1879739437634,25.023367826296784,18.525340533593035
Good,143.3080234571772,142.34935395723497,24.439629089185022,18.630719058881855
Good,142.75402122556503,137.28284954647148,22.983944685561266,16.069499220611323
Good,143.37690560656063,142.33775416181254,18.518382307713583,12.683033888954368
Good,151.12173311642394,146.84745631925625,22.11893765600941,14.908995821307506
Good,149.21486280930952,136.38133388501083,16.66231557284917,5.766770362803518
Good,150.58316109000654,147.22520577637513,15.589566797579502,11.529057178556004
Good,146.92772520558572,144.79248147934422,8.697795175169649,4.759898793852988
Good,157.04058622570116,149.3965609630068,13.827220404181244,6.80755094312912
Good,156.61933301625575,149.14541006153468,13.326079637945343,9.602926020086583
Good,157.34952402121837,155.0742797430667,12.645960002741454,11.032694502159273
Good,162.54804837693888,159.20785937076886,10.89735695080139,10.053674603741678
Good,161.62885976341522,153.02030981836066,9.063390492768074,4.988145944578916
Good,163.56662977932695,155.32996200432464,11.15685472145977,7.180076383283538
Good,163.01036295962734,165.48950386803708,9.812526561757114,11.8865719399828
Good,164.93297322293265,164.45505935951795,11.220846934395212,12.050274621474127
Good,158.7040189545413,154.2789806382267,9.710845243412088,6.627756706975783
Good,160.74923584565786,159.21887668818746,10.565205262421422,9.749498631773275
Good,155.89769374121173,157.77343712631836,13.127471189079177,12.607122418539698
Good,153.13442611191473,152.13235850053803,13.18243993389609,11.860440348835525
Good,146.46831473308904,140.83263710152693,9.72370110315555,5.127340447926933
Good,146.9613749026245,136.5049814005429,13.172258678775385,2.9896174254212915
Good,145.5223375421883,136.74468073825912,18.858316342568262,12.584790562819393
Good,142.93935236669225,136.25905560107276,23.52785671846126,15.748513781228322
Good,136.40260239299414,137.4512984865237,23.954125394493676,21.31982388447037
Good,132.76900258511142,135.82882699065573,25.41375926298666,22.725617342595694
Good,129.69529994908365,135.90590351979654,25.310181857952685,22.377150451853005
Good,127.24750369925653,135.2620925678188,26.519457429245566,24.477863066346703
Good,123.47636919300605,129.10774254153947,25.66105539427705,22.362705206436665
Good,118.27613503231241,125.885493162384,25.433788520716163,22.893099845513788
Good,118.42547617039956,126.55111453083376,27.84000835083488,20.875712842861166
Good,111.57329055878786,117.87148341322748,22.999717164238522,14.551603260403335
Good,103.23914699898579,103.24177477155217,16.270317799859644,4.10615102428451
Good,99.75296369638697,96.97670686577429,15.176067669651177,2.9130972643918556
Good,96.4371339338213,101.81551365486634,15.233122840151623,4.048320032162418
Good,92.59559114200204,97.33481795533034,14.979667800868647,0.4769283628219266
Good,77.21707972888242,90.08317678019442,3.099228572339071,1.4480724035142205
Good,80.61170563871418,83.02634801548398,10.52404000863386,5.860535605263189
Good,78.85642606688808,98.06088900754489,9.991140424881019,4.9893681291373415
Good,68.5952661472317,102.1402986859199,1.1419021553254738,2.4531585850703173
Good,60.6993291884313,83.4096661243245,3.6854050469452653,0.7386857950200826
Good,56.28059137561617,68.35504691163115,3.493500814656624,0.04063261451203406
Good,60.58624470448098,81.43854809936653,1.4913551482607148,1.1802858492408572
