label,l_elbow,r_elbow,l_shoulder,r_shoulder,l_hip,r_hip,l_knee,r_knee
Good Curl,143.15658430843993,141.0070208717358,1.3975968995206967,1.2248698552086017,175.33742229295052,176.0430196365801,177.66989056687555,179.25047884475535
Good Curl,151.66820181427585,145.08927766855652,2.9171580166805136,0.07777438824932754,175.74771181465874,175.66840048160185,177.52380094177857,179.33812880609995
Good Curl,153.4424984993554,148.85212948470289,3.0555779994889827,0.1680977512119753,175.6759574812899,175.347904622446,177.41675447089256,179.68735954041657
Good Curl,159.67203792667536,152.20528382085382,4.141972938902129,1.6950009498416096,175.4187303759932,175.18105528691882,177.9162987841575,179.63275912193563
Good Curl,160.5178873477507,156.85575533578833,4.462670730067461,1.5338508397223511,175.41910243668562,175.97926108217078,178.61340621798487,178.18099570754543
Good Curl,162.46472426631584,159.5474826979393,3.6401879331974185,1.121276388514221,174.22553172615991,175.18991641169677,179.74908282076046,179.80564249432516
Good Curl,164.38705684970324,160.91521547952476,3.635930618445541,0.11018316543588177,174.80932144485183,174.17370988996967,178.2638749777844,179.50540189474344
Good Curl,161.15551449755836,153.8095389694998,3.7661019529512387,0.6549460655149612,175.3860330666594,175.43396138411654,177.84031438489393,179.53118791398882
Good Curl,153.75772719887382,151.32682453232135,3.8615050458123514,0.5361342285767557,175.90006377268634,174.79799177311233,177.49177038599515,179.75445025614053
Good Curl,148.4398339202906,142.65840716048663,2.5849720007288512,0.22497827090522157,175.38004015249496,175.76224250404954,178.71221528544288,179.6434882887888
Good Curl,141.92389385284423,133.05850658603111,3.3852806907466757,0.9823090383732629,176.02365125301398,176.8992900463991,177.7915276787608,179.3129816538272
Good Curl,131.13910521646326,117.95687585894103,3.236675839889339,0.8637792093072566,176.121511476627,177.8097196658578,176.64123496957282,178.35574766810583
Good Curl,111.48530681502538,107.03742404531782,1.42183489276927,0.4836070031611112,175.19056983684484,176.37128911972414,178.58103435133444,179.50224193561047
Good Curl,79.49759867024709,86.54209412688432,2.898728558466504,0.382912830122764,175.2727506155034,177.22919644506405,177.43070150531972,178.14837111388152
Good Curl,74.28678728274905,83.97905756984358,3.442683415223081,1.0548283635626077,175.37050500722273,177.1668890407421,179.6374985021215,179.21395604861033
Good Curl,54.88772396801732,63.91516913496865,2.935582922131928,2.463694950318634,174.58748509076932,176.93939264789682,179.08704236539262,178.6032930965159
Good Curl,47.49862390213769,54.8321281368476,3.6455670308255086,0.602382532683743,175.6738493949974,176.49529244174235,176.9139726351612,178.39093452585166
Good Curl,40.84561639062769,50.02920094597031,3.4662733833024446,0.8149728781724994,175.67719599555133,176.65122435345637,177.53879791805852,179.21053391065593
Good Curl,106.89017497480859,47.95330842464034,2.763200005937994,1.8308513268279283,175.50904625989634,176.7599914141687,178.9245175898968,179.30491573038015
Good Curl,93.88761340307906,45.89601382971554,4.096098421782532,1.3538931915782728,175.34445117327576,178.2830117622757,177.0911676350704,176.9162320217789
Good Curl,31.33146474890816,41.94843546698781,5.746436072129894,0.03821915809044087,176.01727230450365,177.5736930255189,176.5378183259498,177.34761919326922
Good Curl,37.71420073257578,40.29500778253621,5.511273441074053,0.9011776968894585,177.09005028064982,178.87642500475084,177.8065638340027,176.3873003157049
Good Curl,21.91554327756577,35.33802829820034,3.841799631639895,0.5401964123952272,176.91124625728978,178.72752565905407,178.17328748188174,175.8300397514172
Good Curl,51.09234729965672,41.599395746644774,5.085586903709096,0.020633281168878814,175.67012266219893,178.21246105926,177.94007446704637,177.17553732521202
Good Curl,32.875267257044214,47.513387916165286,2.02500085339922,1.4455306844142195,175.23457696033753,177.7865882245607,179.95394764516422,177.93199043503014
Good Curl,34.566240024661695,48.07874075224128,3.0550802633634886,0.5363499671743343,175.65972513320807,177.63698679971142,179.04405345552513,178.0686652423036
Good Curl,47.21038657188197,53.601963948046894,2.51985550915988,1.3327366133604392,176.14352957696155,176.8096892863135,177.03321464411303,178.64808533127763
Good Curl,63.349054441383274,61.78300936394832,3.973179688327535,0.6858263309899109,175.46493289899013,176.50301322325035,177.07747378885253,177.83656063216466
Good Curl,66.53488692194593,74.9959181010146,4.447790348896866,0.2881824908704177,175.4331626008288,175.94930830911846,177.16979154709162,179.35704360411233
Good Curl,93.71252745863454,91.90498301241394,4.331705916411627,0.4109485053651477,174.4626595823736,176.03948813537866,177.99041647032527,178.53498739620187
Good Curl,102.05513809216728,102.46987833270455,2.7872646473385236,0.7771918050961367,175.3437006583383,176.1547802539411,176.92694003617652,178.57901927019518
Good Curl,123.6311963481432,117.61567139105762,2.0340484384270736,1.2204057082977584,175.06029905508427,176.1165816538771,176.7234493074672,178.6594735923434
Good Curl,139.89597641704472,126.59321466721926,1.584083460876829,0.969024139418354,174.9105114805729,176.75151693733585,177.49339541235776,178.7867822641353
Good Curl,143.0451945913465,136.98060094315377,2.852488330258294,1.25291362733299,175.19261101692163,176.5860574864889,177.84852832914086,179.39222286088622
Good Curl,147.45031587263134,143.90745544178768,0.980179863163952,0.7352290977893925,175.35216234827635,175.05737489179106,177.87316476404354,179.70210983536003
Good Curl,151.80492075364438,148.5669816015831,3.1878487773782056,0.2337080719535143,175.19665645158557,175.56647190027618,177.38163934721732,179.40751931648617
Good Curl,151.79485534447196,150.44198731133244,2.934408622822638,0.6680977813052204,173.65175766311702,175.7459406108019,179.3684740066812,179.96002692028492
Good Curl,157.3049574718281,153.6547444676447,3.2199990187641654,0.5505849053932321,175.23201854666016,175.1362146906368,177.953106922368,178.96444141419593
Good Curl,159.60157754748843,154.0830174968023,3.538382458100072,0.8999318159335842,174.30945603091604,174.92934909459916,178.7251458371918,179.94823877281192
Good Curl,156.22319198421565,153.62296468240078,3.3236513685955185,1.0009060481980836,173.77786880748192,175.01438338798224,179.87900639984548,179.79111866805837
Good Curl,153.53050793947216,148.86809441000986,2.918543905271927,0.9835237129300866,174.67589538765435,175.8704064241814,179.17125551645688,179.5949017372627
Good Curl,148.54745950978003,147.50919673011487,2.6730126215764387,0.16126067148746767,175.00949717373513,175.04570153442745,178.77271797526427,179.7527937628756
Good Curl,141.01560015667965,134.51584283150194,3.7432622326918046,0.37173397544100495,175.4462355206209,176.67502775518798,176.56931101738286,178.34124980747788
Good Curl,135.72116241229568,121.64288735645938,3.651564065340364,0.8742162092956637,175.7458086486542,176.9350110644569,176.25523999941237,178.85402255286135
Good Curl,123.5181805130411,114.58742867648394,3.092296252730049,1.4155617685875836,175.40905843962963,176.48539095711652,176.77089420304597,179.21718921269465
Good Curl,92.83896288462918,100.56640675547688,3.351099111028765,0.12527754658930737,175.8242141575813,176.71463267069294,177.26781013376402,178.30308618466233
Good Curl,93.6865485979967,95.49963286228306,3.565250927965202,1.6575133609761368,176.07921136605077,177.21401907148382,176.0361822969682,178.19639352042705
Good Curl,68.34433878513485,71.3487650423985,1.8538224252210243,2.304702995562788,176.48399335197186,177.82788842741996,177.62637762073825,177.53097687507295
Good Curl,56.640387179314146,59.74881667489938,3.1427217346413308,0.053995745101412924,175.20963263368716,176.28840757885843,177.03585621450583,177.56311252869077
